Name,Show,Studio,Notes
"Abigail ""Abby"" Mallard",Chicken Little,Walt Disney Pictures,Chicken Little's best friend.
Ahiru,Princess Tutu,Hal Film Maker,"A friendly, kind-hearted duck who was turned into a pre-teen girl by Drosselmeyer by a magical pendant. Like a duck, she is easily excitable, clumsy, and talkative. If Duck removes the pendant or quacks while talking, she transforms back into a duck, and must touch water while wearing the pendant to return to her human form."
Alfred Kwak,Alfred J. Kwak,Telescreen,"He is very concerned with other people and values many virtues, like human rights and good manners. Friends, family and the environment, are also close to his heart and he in some episodes even risks his own safety when it comes to do the right thing."
April Duck,House of Mouse (cameo),Disney,"One of three of Daisy Duck's nieces, she is a member of the Junior Chickadees."
Baby Ducks,Regular Show,Cartoon Network Studios,"Four ducklings who were found by Mordecai and Rigby in the episode ""A Bunch of Baby Ducks"". They also appear in the later episodes ""Exit 9B"", ""A Bunch of Full Grown Geese"", and ""Brilliant Century Duck Crisis Special""."
Baby Huey,Noveltoons,Paramount Pictures,"He is a gigantic and naïve duckling cartoon character. He was created by Martin Taras for Paramount Pictures' Famous Studios, and became a Paramount cartoon star during the 1950s."
Bill,Sitting Ducks,Sitting Ducks Productions,"An anthropomorphic diminutive duck who waddles to a different beat. A very kind-hearted, good-natured fellow who is always there when needed."
Blade,"Leafie, a Hen into the Wild",Myung Films,"A male mallard duck who competed in the guard duck race and often bullied Greenie, During the race he tried to blind Greenie with sand but Greenie came back and told him something is in front of him which made Blade crash into a tree."
Buhdeuce,Breadwinners,Nickelodeon Animation Studio,"A short, round, anthropomorphic, neon green duck and SwaySway's partner in bread delivery."
Bully,"Leafie, a Hen into the Wild",Myung Films,"Another male mallard duck who is huge and very tough, He competed in the guard duck race he tried to take down Greenie in the water but was pushed into the water by Greenie and was last seen before Greenie said his farewell to Leafie."
Carue,One Piece,Production I.G,Nefertari Vivi's pet super spot-billed duck who is the leader of the Super Spot-Billed Duck Squad in Alabasta.
Crack-Duck,Crack-Duck,Mondo Media,"A depressed duck that is the apartment manager of the strange, monster-filled Grungetown Tower"
Count Duckula,"Dangermouse, Count Duckula",Cosgrove Hall Films,He is a short green duck with black parted hair and the traditional vampire evening wear complete with cape. He has no fangs.
Daffy Duck,Looney Tunes,Warner Bros.,A black duck with a white neck-ring and orange legs and beak. His name is derived from the fact that he behaves in a daffy way.
Daisy Duck,Donald Duck,Disney,"Has large eyelashes and ruffled tail feathers to suggest a skirt. She is often seen wearing a hair bow, blouse, and shoes. Daisy usually shows a strong affinity towards Donald, although she is often characterized as being more sophisticated than him."
Danger Duck,Loonatics Unleashed,Warner Bros.,A Descendant of Daffy Duck
Darkwing Duck / Drake Mallard,Darkwing Duck,Disney,The title character and superhero of the series
Della Duck,DuckTales,Disney,"The sister of Donald Duck and the mother of Huey, Dewey, and Louie; an adventurer whose absence serves as an overarching mystery in the series."
Dewey Duck,Donald Duck,Disney,"One of three of Donald Duck's nephews, Dewey dresses in blue."
Donald Duck,Donald Duck,Disney,"Donald is an anthropomorphic white duck with a yellow-orange bill, legs, and feet. He typically wears a sailor suit with a cap and a black or red bow tie. Donald is most famous for his semi-intelligible speech and his mischievous and irritable personality."
